id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
109,Hugh Vargas,230-918-886,05-07-2016,42000,55544,55544,03,32,0,2,34381.645,40464.148,0,631,41400,84700,6.1399999,181547
110,Frank Brewer,105-452-408,04-03-2016,42600,56338,56338,01,36,0,2,20592.203,30339.402,0,587,37400,48500,5.96,184315
111,Myra Mclaughlin,344-205-281,07-07-2016,42600,56338,23873,01,39,1,1,42645.98,18067.168,1,652,49000,84800,6.4000001,199555
112,Kerry Anderson,854-050-599,02-06-2016,42200,55809,27017,02,35,0,2,36027.004,24988.896,0,622,60300,43100,7.3800001,186995
113,Hilda Reynolds,153-332-470,06-05-2016,42100,55677,20490,02,38,1,2,30672.834,8504.415,1,557,42700,31600,6.5,184755
114,Jean Vasquez,137-499-548,07-01-2016,42100,55677,26908,01,30,1,3,36248,61014.887,1,585,30600,87500,6.4699998,186520
115,Flora Massey,721-328-941,05-01-2016,50800,67182,14250,02,24,0,2,0,7423.9277,0,424,37200,69800,6.0799999,184123
116,Nellie Davidson,785-426-373,05-04-2016,41600,55015,17286,02,42,0,2,16443.771,9027.2979,0,564,40200,0,6.1399999,215960
117,Luis Evans,815-756-671,06-02-2016,42300,55941,19430,05,33,1,2,43795.719,17102.459,1,567,42800,0,6.8600001,183500
118,Phyllis Fleming,530-175-556,04-04-2016,47500,62818,62818,05,34,1,2,91535.531,78297.93,3,776,40000,0,6.5300002,182846
119,Kevin White,236-257-775,03-05-2016,43900,58057,58057,01,28,0,1,55576.188,37949.609,0,645,50500,100600,7.1100001,178725
120,Rudy Young,209-399-731,02-01-2016,44200,58454,24760,03,41,1,2,23430.232,27545.111,1,601,40300,8800,7.3499999,178151
121,Rose Cross,165-877-274,07-02-2016,59000,78027,17160,01,37,0,2,0,0,0,493,42000,49700,6.5700002,200065
122,Eva Harrison,492-158-564,07-07-2016,44100,58322,58322,01,35,1,2,52582.801,41977.57,2,653,37200,0,6.6900001,190017
123,Eric Scott,051-937-871,04-01-2016,43700,57793,36251,05,40,1,2,62062.652,46827.352,2,722,41400,177100,6.2199998,200931
124,Rhonda Allison,544-106-091,06-07-2016,42700,56470,56470,04,39,1,2,30682.506,58715.258,0,625,42400,67800,6.7600002,210768
125,Bruce Miller,296-951-448,08-05-2016,42100,55677,22855,03,26,1,1,37553.516,39729.391,3,556,55700,64500,6.71,175993
126,Caleb Hines,730-515-552,04-02-2016,42900,56735,56735,03,47,1,2,50705.879,20266.494,1,702,34200,0,6.6900001,187519
127,Melvin Castillo,324-185-525,03-07-2016,42300,55941,27967,04,32,1,2,41974.973,39792.707,1,600,55800,4600,7.2199998,179456
128,Levi Burton,318-102-971,06-07-2016,42400,56073,22467,02,33,0,3,24279.57,35173.5,0,540,47100,27500,6.6100001,209669
129,Sandra Beck,106-235-201,07-03-2016,41900,55412,24402,01,39,1,2,26235.326,20651.771,3,592,44800,119100,6.8899999,159386
130,Kristine Patrick,674-187-243,07-07-2016,42000,55544,24213,04,39,1,2,38510.875,64559.781,1,625,44900,158600,6.4899998,211461
131,Randy Vaughn,355-189-302,03-05-2016,42300,55941,55941,04,43,1,2,68840.852,75420.922,3,741,55500,125000,7.4299998,200457
132,Salvador Pope,106-236-148,07-02-2016,50800,67182,17926,04,36,1,3,8522.1465,2387.2795,3,502,52300,0,6.5,201682
133,Guillermo Morris,036-107-768,08-02-2016,42100,55677,55677,04,37,1,2,39128.57,36816.84,2,619,57700,72100,6.4000001,185610
134,Angel Stanley,010-157-108,06-03-2016,51300,67844,16611,04,35,1,2,1291.4314,4502.5635,3,481,50200,0,6.8299999,186890
135,Barbara Holland,282-324-893,06-04-2016,41500,54883,30298,02,28,1,2,21803.471,40382.148,3,578,58100,10800,6.6599998,190424
136,Drew Lindsey,978-878-854,06-01-2016,43400,57396,35776,03,35,1,2,51245.754,53754.734,1,654,39900,138500,6.6700001,181526
137,Glenda Todd,837-936-641,07-05-2016,42000,55544,55544,05,35,1,1,38787.828,41918.902,0,631,49500,58700,6.5999999,205636
138,Timothy Medina,899-399-527,04-06-2016,45400,60041,60041,02,32,1,2,64573.949,94337.859,3,707,54000,0,6.4400001,212567
139,Hannah Ward,106-954-047,06-04-2016,47000,62157,62157,03,30,0,2,83637.133,62290.594,0,680,39400,0,6.8299999,196251
140,Diane Mason,388-172-374,07-01-2016,41700,55148,27281,04,40,1,3,34399.934,0,3,631,36800,0,6.5300002,184147
141,Eula Love,985-982-984,05-01-2016,43400,57396,23570,01,34,0,2,50506.352,51704.402,0,599,59900,101700,6.3800001,204537
142,Tara Reese,960-137-278,07-06-2016,43300,57264,57264,03,32,0,2,50988.563,35879.695,0,641,42000,38900,6.25,181528
143,Loren Gibson,365-657-984,01-02-2016,41400,54751,17570,02,33,1,2,19125.686,12663.707,0,531,29200,95500,7.3800001,190673
144,Paula Dixon,539-359-402,07-05-2016,76300,100906,28284,01,31,1,2,0,17683.084,2,459,64500,0,6.46,222532
145,Jay Bell,744-582-120,09-04-2016,44000,58189,22759,04,40,0,3,19646.152,8562.0371,0,578,30500,97100,6.2199998,192158
146,Philip Higgins,541-612-228,05-04-2016,43100,56999,25195,04,44,1,2,21530.152,19899.166,1,598,41500,7700,6.54,181818
147,Christie Tate,359-321-726,10-01-2016,45000,59512,22678,05,36,1,2,18574.381,28866.662,2,586,28300,0,5.9000001,184693
148,Frankie Hogan,728-852-627,04-07-2016,43100,56999,56999,01,36,1,2,25939.629,34268.246,2,581,38100,50300,6.1900001,201626
149,Vanessa Henderson,360-500-654,04-05-2016,48600,64273,46663,05,41,1,2,82687.984,87567.414,2,811,42700,20700,6.2199998,203691
150,Jenna Hall,996-042-337,05-07-2016,43000,56867,56867,03,41,0,2,29080.426,38029.957,0,625,28100,32700,6.1700001,184752
151,Tracy Green,266-055-271,04-03-2016,46800,61892,61892,02,26,1,2,77709.375,55086.871,0,609,43400,0,6.1300001,188678
152,Nichole Taylor,985-057-672,05-01-2016,42900,56735,23102,02,27,0,2,25206.334,43985.938,0,514,36400,0,6.1300001,187079
153,Delores Benson,685-751-161,04-03-2016,47200,62421,62421,04,37,1,2,75513.68,88937.219,3,727,52900,0,6.4000001,165446
154,Robin Parsons,301-116-810,03-04-2016,42800,56602,56602,04,32,1,2,47859.949,55063.137,0,621,43800,12100,7.0300002,193651
155,Noel Bailey,182-599-250,04-06-2016,42100,55677,55677,04,34,1,2,37789.77,37644.746,1,601,40900,900,6.4699998,153936
156,Camille Reed,316-067-335,04-07-2016,42200,55809,55809,04,39,1,3,39705.273,23059.668,0,614,42900,0,6.4899998,176866
157,Judith Craig,059-623-572,05-01-2016,47600,62950,41670,02,36,1,2,73613.664,86322.664,3,762,54600,168700,6.1500001,204095
158,Franklin Curtis,848-531-671,06-06-2016,42400,56073,23479,02,29,1,2,42415.98,40112.223,2,544,44700,0,6.6500001,211377
159,Janet Welch,744-881-402,06-05-2016,49100,64934,64934,01,40,1,3,102961.09,71216.57,2,872,57600,0,6.5100002,202444
160,Meredith Wilson,667-154-820,07-03-2016,42100,55677,27347,04,35,1,2,38486.863,19124.484,3,602,40700,109400,6.6900001,195063
161,Kristy Watson,384-561-718,06-07-2016,49300,65199,65199,02,27,1,3,79075.391,94358.141,2,642,38400,0,7.1300001,215490
162,Javier Ray,538-822-970,03-04-2016,44600,58983,58983,01,36,1,2,8630.3223,9320.8047,2,530,49500,0,7.1500001,194195
163,Alejandro West,483-805-955,06-07-2016,43500,57528,19932,01,30,0,2,50125.23,1940.9205,0,570,43900,0,6.8600001,167883
164,Edna Collier,835-195-771,08-06-2016,49600,65595,49993,01,37,0,2,71975.594,75433.641,0,732,41300,0,6.3099999,179453
165,Natasha Martinez,110-689-512,05-06-2016,42900,56735,30132,05,38,0,2,49541.758,61412.953,0,680,43000,42100,6.5999999,210423
166,Lynn Crawford,158-703-216,06-03-2016,42000,55544,29975,05,32,1,2,33367.902,27722.16,3,606,34100,0,6.73,172855
167,Lionel Watts,424-062-092,08-04-2016,42400,56073,56073,02,32,1,3,60935.906,48098.527,2,648,44600,81200,6.6100001,192689
168,Wallace Webster,893-826-947,07-01-2016,55400,73266,32636,05,21,0,2,0,3335.5762,0,510,68500,108700,6.6700001,192248
169,Yvette Schmidt,354-629-571,05-06-2016,41800,55280,31302,02,29,0,2,28235.461,5249.2827,0,613,21800,48800,6.02,195191
170,Darlene Riley,990-810-119,05-01-2016,44100,58322,58322,01,25,1,2,52686.195,47750.129,3,617,58400,0,6.27,207712
171,Agnes Gray,995-971-345,08-01-2016,48200,63744,63744,02,39,0,2,82195.977,41357.375,0,795,38900,15700,6.54,194809
172,Salvatore Henry,941-472-386,08-06-2016,44200,58454,58454,02,31,1,3,58760,65233.93,2,683,39300,98600,6.5300002,188878
173,Nelson Moreno,784-797-682,06-01-2016,42300,55941,55941,02,25,0,2,25980.791,9501.627,0,575,37700,30700,6.7199998,183060
174,Kari Hammond,491-683-356,04-01-2016,44700,59115,59115,05,35,0,2,72168.203,78020.953,0,713,47700,0,6.3200002,218483
175,Pam Pena,447-016-841,06-03-2016,43700,57793,13936,05,39,0,1,20078.176,7881.9741,0,550,45000,59000,6.75,208098
176,Kelvin Norman,132-725-572,05-06-2016,42000,55544,55544,03,38,1,2,29323.057,5991.3716,2,588,34300,0,6.3499999,196208
177,Amos Wells,597-264-011,03-06-2016,51200,67711,67711,03,30,0,2,79853.344,97018.133,0,683,37900,0,6.7600002,220536
178,Jeffrey Wheeler,916-479-129,09-05-2016,45400,60041,60041,02,45,0,2,61824.039,73014.141,0,725,36700,0,5.9299998,182235
179,Ricky Gill,189-035-979,06-03-2016,45200,59776,59776,05,39,1,2,59384.102,38798.863,2,717,50500,0,6.5500002,197643
180,Tracy Nguyen,895-194-574,05-06-2016,46300,61231,41821,04,29,0,2,64589.516,47979.395,0,664,55300,0,6.3000002,165886
181,Tiffany Fisher,932-417-281,06-06-2016,43500,57528,33095,05,27,0,2,60332.23,79565.633,0,599,44400,36900,6.4400001,173816
182,Eugene Mendez,302-418-501,05-05-2016,44400,58718,58718,01,34,0,2,11265.985,4045.2051,0,565,28800,0,5.8200002,194994
183,Kellie Austin,729-919-040,06-02-2016,47000,62157,40753,05,32,0,2,69402.477,67464.273,0,684,47900,0,6.46,183902
184,Belinda Houston,468-460-466,07-05-2016,49700,65728,41022,05,32,0,2,78430.609,91138.195,0,663,38000,0,6.5599999,191796
185,Jack Patterson,733-332-738,06-01-2016,56500,74721,74721,03,36,0,2,0,0,0,502,48600,0,6.5599999,205678
186,Orville Diaz,373-106-180,05-02-2016,46700,61760,61760,04,35,1,3,17091.262,16849.492,0,551,33300,0,6.1399999,183300
187,Esther Cook,171-875-535,05-02-2016,46000,60834,60834,02,34,1,2,67752.195,45370.379,0,705,52600,166600,6.1999998,215635
188,Noah Hernandez,818-965-160,08-07-2016,45500,60173,60173,01,37,0,2,59845.563,35413.266,0,688,56100,0,6.21,187968
189,Luther Barnes,445-241-980,05-05-2016,42500,56206,56206,03,33,1,2,16691.936,14387.767,2,574,39800,34400,6.1399999,187685
190,Alberto Tucker,211-094-239,01-06-2016,51700,68373,68373,05,41,1,2,91718.242,80812.57,2,809,50400,0,7.5,185662
191,Tina Pierce,041-939-280,04-06-2016,42400,56073,22433,04,37,1,2,32345.885,25140.352,3,588,44400,0,6.3299999,196087
192,Victor Perry,997-297-509,05-03-2016,42300,55941,19912,02,40,0,2,29265.004,25002.209,0,583,31500,86100,6.5599999,187269
193,Katrina Abbott,499-080-780,09-07-2016,47700,63083,63083,02,37,1,3,80114.523,60954.188,0,746,37200,0,5.9499998,174264
194,Harry Logan,612-650-905,06-03-2016,45300,59909,59909,05,35,1,2,67329.164,55129.391,2,655,43500,0,6.7600002,225888
195,Ashley Hubbard,891-072-956,06-04-2016,43100,56999,56999,05,32,1,2,54123.398,49895.051,3,637,41400,0,6.7800002,201623
196,Alicia Watkins,268-615-200,06-04-2016,43000,56867,56867,04,35,1,2,49790.074,43457.066,2,654,32300,0,6.6100001,210331
197,Shirley Frazier,234-005-257,01-05-2016,52000,68769,68769,02,34,1,2,78880.648,61492.785,3,693,35500,6000,7.6100001,172041
198,Sonia Mcguire,630-945-507,06-07-2016,44700,59115,59115,04,33,1,2,59766.133,51692.926,0,654,50100,3100,6.7800002,200410
199,Caroline Mckinney,454-853-050,05-02-2016,59600,78820,78820,04,36,0,2,0,8964.5859,0,544,69000,0,6.3499999,192285
200,Marlon Gilbert,348-878-129,08-06-2016,42800,56602,26063,01,34,0,2,46306.207,38272.621,0,631,39700,96900,6.46,192621
201,Shawn Norton,152-783-812,03-01-2016,41900,55412,23627,05,25,0,2,35563.551,14294.445,0,552,46300,0,7.1999998,190715
202,Wendell Figueroa,547-130-123,06-01-2016,44700,59115,37859,01,41,0,3,56594.176,41326.031,0,715,41400,0,6.4499998,191810
