id,name,SSN,date,loan_amt,amt_due,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
275,Louise Rivera,367-948-640,09-07-2017,42100,55677,02,38,1,2,36111.934,41654.031,0,587,26500,0,6.0300002,223277
276,Toni Schultz,038-997-290,07-05-2017,42600,56338,02,36,0,1,13703.08,5544.4209,0,539,37400,0,6.4099998,178923
277,Lawrence Thompson,377-188-222,05-04-2017,46500,61496,03,36,0,2,64680.445,59010.262,0,692,40800,0,6.1300001,193766
278,Miranda Arnold,692-511-919,04-02-2017,42400,56073,02,33,0,1,42296.508,54203.262,0,598,38900,0,6.54,210476
279,Randy Douglas,486-432-471,04-02-2017,47500,62818,01,25,1,2,11037.741,29178.115,0,499,39200,10600,6.3000002,204741
280,Bernice Peterson,641-755-779,05-04-2017,44000,58189,02,43,1,2,56053.27,62625.434,2,719,39100,24500,6.1399999,156132
281,Angel Carr,821-454-000,06-06-2017,42200,55809,04,21,0,2,77389.68,79641,0,579,44000,100400,6.6799998,201163
282,Glenn Kelley,094-459-216,06-05-2017,42500,56206,01,36,0,3,42347.809,44061.281,0,628,39200,0,6.54,182739
283,Misty Rogers,491-644-863,07-01-2017,50200,66389,04,33,1,2,94689.203,67577.141,2,733,42800,6500,6.4400001,187153
284,Michael Horton,910-768-448,07-07-2017,46300,61231,02,33,0,2,83454.805,51749.328,0,674,55700,148000,6.5900002,166057
285,Sean Padilla,422-033-399,05-05-2017,40700,53825,05,35,1,3,24799.525,11780.725,1,525,41400,61200,6.3000002,207366
286,Melanie Stevenson,329-853-878,04-07-2017,42700,56470,03,30,1,3,45713.547,69802.953,3,649,44400,0,6.6100001,204688
287,Nellie Haynes,636-905-217,03-01-2017,41800,55280,02,32,0,1,29607.934,19706.689,0,615,45500,19800,6.7800002,173286
288,Myra Torres,661-270-941,02-02-2017,43700,57793,04,26,0,3,53552.426,47777.043,0,637,56900,99200,7.4200001,197806
289,Cedric Wilkerson,561-157-521,05-01-2017,43400,57396,04,38,1,2,54370.766,51933.301,3,686,35600,168900,6.0700002,190023
290,Danny Gordon,107-603-018,09-04-2017,43300,57264,03,32,1,2,51129.906,47384.84,2,637,46100,0,6.2399998,193066
291,Danielle Goodman,058-179-464,03-07-2017,47700,63083,02,27,0,2,73528.844,85267.398,0,605,46800,0,7.3000002,172635
292,Elbert Goodwin,135-387-713,07-02-2017,42300,55941,04,33,0,2,41700.328,37705.105,0,646,40300,0,6.5999999,196908
293,Fred Neal,509-416-187,07-05-2017,48400,64008,05,31,1,2,82656.031,67860.727,0,684,55000,200200,6.75,207290
294,Joyce Mcdaniel,787-852-266,09-04-2017,42100,55677,01,38,1,3,34062.777,34323.887,1,589,21100,0,6.0999999,182227
295,Adam Leonard,126-571-356,03-04-2017,47000,62157,01,32,0,1,7163.4517,0,0,572,22900,0,7.3200002,190896
296,Ben Rhodes,920-036-360,07-02-2017,88900,117570,03,33,1,2,0,0,1,434,51100,30900,7.0100002,176358
297,Joanna Hicks,625-433-569,04-03-2017,52300,69166,03,21,0,2,0,16951.143,0,482,34500,80700,6.1300001,185482
298,Erica Burton,917-206-390,08-03-2017,41600,55015,01,37,1,1,26164.283,3871.3496,1,576,35800,132400,6.1999998,197590
299,Jermaine Wilkins,006-635-403,02-03-2017,45500,60173,02,22,0,2,68984.188,58030.234,0,537,44000,0,7.54,197914
300,Kristina Coleman,076-363-541,03-04-2017,44000,58189,04,39,1,2,58224.508,63269.586,2,690,36200,0,7.02,176799
301,Lena Carter,376-938-151,07-06-2017,42200,55809,01,28,0,1,19931.039,16219.652,0,498,34000,0,6.6500001,175740
302,Frank Santiago,294-043-482,04-06-2017,42300,55941,04,27,1,2,43228.141,6889.5352,3,588,44700,0,6.48,178965
303,Kara Sandoval,485-804-076,08-06-2017,46100,60967,02,36,1,2,12218.327,35747.285,1,548,41600,0,6.21,219962
304,Henrietta Nunez,844-805-191,05-06-2017,43100,56999,04,37,1,2,50431.074,42939.125,1,674,57100,0,6.3099999,149354
305,Kevin Bass,369-633-784,05-01-2017,43000,56867,02,41,1,2,48172.172,48845.457,1,717,52900,0,6.0900002,207803
306,Elisa Carpenter,691-890-359,06-06-2017,42600,56338,01,26,1,1,22645.707,39780.402,1,495,50000,0,6.3400002,174549
307,Jackie Lawrence,375-170-057,04-02-2017,45600,60305,04,42,1,2,20149.719,15071.147,0,589,34800,0,6.3899999,193002
308,Marcus Myers,199-754-965,07-01-2017,44600,58983,02,37,1,2,63850.238,69173.609,2,658,34600,0,6.7199998,221165
309,Fred Castro,670-085-669,06-07-2017,43300,57264,03,29,0,2,53052.828,38371.492,0,628,45800,0,6.5,189072
310,Julius Haynes,596-219-091,05-04-2017,43200,57131,04,43,1,2,52978.797,56777.707,3,676,49100,16800,6.1300001,197249
311,Greg Hunt,159-032-929,05-05-2017,40100,53032,05,33,1,2,15388.591,28494.656,3,563,57800,0,6.3200002,173018
312,Spencer Jensen,985-559-686,05-01-2017,43600,57660,04,36,1,2,19019.383,3301.8464,3,547,39000,0,5.9699998,178148
313,Jackie Johnston,708-462-826,06-07-2017,43000,56867,01,45,0,3,20136.869,39901.496,0,600,45300,38900,6.71,188969
314,Tiffany Mendez,193-193-711,07-04-2017,42200,55809,05,32,0,2,41985.262,38206.449,0,614,40700,0,6.27,224334
315,Santiago Mcgee,918-144-869,04-01-2017,42700,56470,04,35,0,2,46977.977,39208.418,0,615,42400,30600,6.0799999,180181
316,Sam Mckenzie,491-980-250,07-07-2017,45200,59776,05,33,1,2,74701.289,71330.109,1,705,51400,0,6.6399999,189030
317,Janice Kennedy,242-593-357,07-03-2017,51600,68240,05,33,1,2,9592.0342,44509.156,2,524,35400,0,6.7399998,205062
318,Bert Lloyd,634-620-499,06-01-2017,45500,60173,01,28,0,3,64843.895,56737.172,0,621,51700,0,6.77,209184
319,Fannie Dennis,622-040-887,05-06-2017,42600,56338,04,43,1,2,45830.789,58877.598,1,668,47300,6800,6.27,196991
320,Tony Meyer,563-263-246,08-03-2017,44400,58718,04,37,0,3,67497.992,69985.07,0,715,41100,0,6.0599999,206126
321,Mattie Paul,232-304-531,07-06-2017,42200,55809,01,32,0,2,35212.859,50154.266,0,592,43500,0,6.5,153941
322,Traci Farmer,006-733-046,05-05-2017,42300,55941,04,25,0,2,34065.422,55140.086,0,543,62500,0,6.1100001,207593
323,Rosa Jenkins,599-899-625,07-03-2017,43700,57793,01,41,1,3,7653.8096,16060.977,3,549,38800,0,6.6500001,169571
324,Darin Love,355-730-162,07-07-2017,44000,58189,05,34,1,2,57924.09,58091.207,2,654,55500,0,6.3299999,195681
325,Priscilla Hudson,240-999-799,09-04-2017,44200,58454,04,34,1,1,16725.863,18938.799,2,544,40400,0,5.8099999,195206
326,Miriam Richards,836-811-610,07-07-2017,44900,59380,04,26,1,2,8219.8203,0,3,481,28000,0,6.4499998,211680
327,Eric Zou,119-337-156,02-06-2017,43100,56999,04,41,0,2,55546.746,32564.191,0,689,36900,52800,7.1799998,185043
328,Jorge Gray,560-060-385,08-02-2017,44700,59115,04,33,1,3,10736.1,15379.159,1,512,40500,31200,6.1500001,185856
329,Leslie Robertson,302-236-850,06-02-2017,46200,61099,02,31,1,2,11367.492,30731.756,1,565,34900,0,6.8800001,194001
330,Omar Thornton,138-609-653,08-03-2017,49400,65331,05,34,1,2,10416.5,0,2,506,55900,11400,6.4899998,180595
331,Kelli Gordon,806-224-766,02-01-2017,42300,55941,03,30,1,2,41922.418,32618.889,3,604,38700,0,7.2399998,177449
332,Gertrude Matthews,987-764-374,07-07-2017,42000,55544,05,33,0,2,36486.125,56682.289,0,579,37300,19400,6.6399999,186378
333,Bob Waters,115-068-107,08-01-2017,42100,55677,02,37,1,2,31015.977,51135.344,0,653,30600,0,6.4400001,198289
334,Tracy Stephens,938-468-979,02-02-2017,45100,59644,03,41,0,1,9175.7314,6098.6084,0,547,25200,34700,7.2399998,197975
335,Corey Ortiz,842-419-931,08-07-2017,42500,56206,03,43,1,2,28526.152,23030.16,0,617,55200,141600,6.1799998,206102
336,Carlton Anderson,545-230-764,03-04-2017,43500,57528,05,31,0,2,53586.871,42920.551,0,673,50500,0,6.7800002,184874
337,Dianna Schultz,222-310-745,07-06-2017,44300,58586,01,24,1,2,55896.375,53630.258,1,611,32500,48500,6.7199998,208662
338,Paul Cole,958-833-637,07-07-2017,42900,56735,05,32,1,3,26968.475,39918.191,2,616,44800,0,6.71,200804
339,Floyd Marshall,839-787-989,07-05-2017,43300,57264,01,30,1,2,21798.434,11378.11,0,535,30100,63400,6.6700001,202223
340,Ignacio Rios,779-336-148,04-05-2017,42100,55677,02,30,0,2,36773.879,65730.82,0,628,40400,0,6.48,190277
341,George Parsons,995-753-063,04-04-2017,42200,55809,04,32,1,2,41019.223,60054.352,2,579,35000,48000,6.4299998,194002
342,Denise Mendoza,304-197-764,09-06-2017,46100,60967,05,35,0,2,78572.016,65390.633,0,730,49900,160000,6.0900002,192307
343,Arturo Barrett,555-400-306,08-07-2017,42600,56338,05,34,0,2,46979.949,46070.801,0,618,27700,0,6.1500001,213607
344,Sheryl Ruiz,019-003-854,04-07-2017,42200,55809,01,37,1,2,38662.168,32727.455,1,603,44700,0,6.3899999,184021
345,Dave Spencer,736-183-441,03-03-2017,42100,55677,03,27,1,2,36700.66,51480.648,1,604,44100,65700,7.29,175213
346,Angie Holt,393-011-532,06-06-2017,44900,59380,02,36,0,3,59558.082,50629.023,0,680,55200,0,6.8099999,198549
347,Jermaine Cobb,033-156-639,06-04-2017,41400,54751,04,29,0,3,25673.98,32104.012,0,570,26300,0,6.7800002,185347
348,Norma Chandler,124-232-348,08-07-2017,42000,55544,01,32,1,2,35872.934,38180.133,3,601,46200,0,6.2800002,196079
349,Gregg Newman,936-414-406,05-05-2017,49000,64802,05,43,1,2,10147.369,9543.2246,2,534,40300,0,5.8800001,191100
350,Patricia Snyder,643-953-834,04-03-2017,41900,55412,03,30,1,2,35217.336,19469.768,1,568,26100,0,6.2800002,205062
351,Wendy Harmon,213-322-789,07-04-2017,43700,57793,05,28,0,2,57255.52,90476.633,0,612,58700,0,6.6700001,197896
352,Frederick Moss,468-815-933,08-01-2017,42900,56735,02,33,0,3,27597.674,24782.268,0,595,31200,0,5.9299998,176125
353,Claire Gilbert,002-316-801,03-06-2017,44100,58322,05,38,1,2,61067.508,60611.813,3,715,39600,45300,7.1100001,212777
354,Angelo Jefferson,280-763-021,04-02-2017,42500,56206,02,37,1,2,42234.211,48071.047,0,664,55400,0,6.71,172517
355,Laura Webb,016-751-812,07-05-2017,41800,55280,02,28,1,2,27736.82,24011.709,2,515,63200,19200,6.54,164116
356,Helen Chapman,018-218-134,06-02-2017,45400,60041,04,44,1,2,63165.164,67965.453,1,738,43800,38700,6.6700001,178125
357,Felicia Mullins,665-001-671,05-02-2017,42500,56206,01,38,0,2,42613.543,41950.867,0,613,41200,0,6.1500001,196184
358,Shirley Colon,321-376-570,04-07-2017,45200,59776,04,30,1,2,67957.195,44441.016,0,621,53200,14500,6.73,205540
359,Tracey Simpson,130-495-583,07-05-2017,46400,61363,03,40,1,2,78099.102,55347.633,0,776,49500,0,6.3800001,201520
360,Ismael Davis,589-614-271,04-06-2017,42800,56602,05,31,0,2,24611.215,0,0,574,27100,0,6.5999999,195449
361,Eleanor Washington,495-681-968,01-05-2017,48100,63612,04,50,1,2,73828.219,82382.258,1,818,52300,32700,7.9299998,184142
362,Tasha Howell,843-940-794,06-03-2017,61200,80936,01,35,1,3,0,13193.189,2,495,48600,0,6.25,188736
363,Conrad Gibbs,460-719-924,05-01-2017,42100,55677,05,35,1,1,28121.01,33663.527,1,561,37500,79200,6.54,191536
364,Leroy Wood,060-732-821,07-01-2017,42500,56206,01,31,0,2,42667.336,66534.789,0,541,43800,0,6.71,161783
365,Doreen Reeves,189-713-890,06-02-2017,43600,57660,02,34,1,2,51085.922,61706.66,2,658,50400,99600,6.8800001,176956
366,Betsy Walton,077-776-053,08-05-2017,48000,63479,05,29,1,2,87006.914,73964.359,0,666,54500,0,6.3400002,191461
367,Martha Simon,438-833-478,04-07-2017,41700,55148,04,33,1,2,34189.852,29749.799,0,550,47900,0,6.25,153339
368,Homer Oliver,929-721-247,06-03-2017,42300,55941,05,40,1,2,35041.273,50583.418,0,613,24500,169000,6.6300001,186607
369,Penny Patrick,733-373-100,04-06-2017,42500,56206,03,22,0,2,43705.645,45230.207,0,539,48900,0,6.3099999,205119
370,Virginia Fletcher,900-145-553,06-04-2017,58000,76704,04,34,1,2,91512.609,97873.25,3,746,49700,0,7.0700002,188492
371,Robert Larson,017-857-330,07-06-2017,44500,58851,01,34,1,2,56237.754,67799.422,1,605,55800,44500,6.8400002,207316
372,Joann Gomez,125-423-779,09-02-2017,43900,58057,05,40,0,3,20164.857,30100.367,0,565,49700,0,6.2800002,182335
373,Dwayne Flores,687-208-010,09-03-2017,44400,58718,05,31,0,2,66364.273,59574.219,0,631,47600,0,6.25,199959
374,Joyce Robbins,649-346-899,04-07-2017,45300,59909,03,37,0,2,15359.65,19132.838,0,549,37200,0,6.1999998,193342
375,Keith Craig,954-674-038,03-07-2017,49200,65066,05,25,1,2,7572.6802,49237.434,1,471,53000,0,7.0999999,161771
376,Marlon Perez,266-737-682,03-01-2017,44700,59115,04,35,1,2,67107.391,55546.043,0,678,56400,57300,7.5,207038
377,Phillip Harrington,646-523-947,03-03-2017,42100,55677,02,30,1,2,36228.664,23431.4,2,615,31300,60400,7.4000001,164852
378,Michele Schneider,640-641-372,04-06-2017,45200,59776,03,32,0,2,73007.234,64344.98,0,702,36600,82800,6.4299998,187606
379,Dustin Mack,508-404-774,02-06-2017,42500,56206,01,35,0,2,42016.699,32953.574,0,640,46400,29600,7.4299998,197370
380,Elmer Poole,651-262-380,08-07-2017,45000,59512,03,41,1,2,60832.504,83609.266,3,707,56200,221400,6.4200001,194427
381,Susie Wheeler,356-901-666,06-04-2017,43000,56867,05,34,1,2,19857.713,11960.738,2,568,47600,226400,6.5799999,148982
382,Karl Delgado,844-662-063,05-03-2017,42600,56338,03,30,0,1,24624.9,23013.102,0,496,50300,0,6.1900001,188047
383,Hope Rodriguez,410-317-121,04-05-2017,48000,63479,05,36,0,2,72331.813,30188.041,0,696,46100,46600,6.52,174277
384,Sherri Wilkerson,482-266-863,05-07-2017,51000,67447,05,34,1,2,5112.0229,0,1,540,43700,0,6.0500002,195290
385,Terence Benson,001-518-352,10-05-2017,45500,60173,02,34,1,2,66644.484,64278.121,2,694,43400,0,6,211005
386,Aaron Guzman,938-692-382,06-03-2017,44800,59247,01,28,1,2,68622.641,55922.449,1,674,45100,0,6.73,182978
387,Leonard Potter,756-690-465,05-03-2017,43700,57793,03,32,1,2,56224.133,41320.379,3,634,49800,0,6.1599998,183440
388,Erik Sanchez,599-565-204,08-03-2017,45200,59776,03,31,1,2,63147.273,45337.227,3,699,47300,54800,6.4000001,182395
389,Perry Pope,563-489-360,07-01-2017,42300,55941,05,31,1,2,43801.336,46534.832,3,593,30800,39900,6.73,173717
390,Orlando Conner,345-165-934,03-07-2017,44600,58983,03,29,1,2,61561.676,72852.578,3,583,53300,18700,7.0500002,161911
391,Donna Watson,794-878-759,05-02-2017,43000,56867,03,41,1,1,27283.752,50926.707,1,569,53800,145200,6.1599998,184170
392,Samantha Robinson,073-313-648,04-05-2017,42100,55677,02,36,0,2,37070.195,39749.078,0,599,27100,148300,6.2399998,215492
393,Carrie Drake,337-661-845,05-02-2017,54800,72472,04,38,1,3,92548.586,75013.516,1,815,46300,0,6.29,196951
394,Kathryn Willis,147-075-767,11-07-2017,43100,56999,05,35,0,3,23147.24,27241.537,0,497,44900,0,6.5100002,214654
395,Malcolm Munoz,212-841-791,03-01-2017,42700,56470,03,26,0,2,47010.418,38395.82,0,626,46600,57700,6.96,171655
396,Alton Armstrong,504-732-129,07-07-2017,51200,67711,05,35,1,2,79307.992,99900.148,2,700,46900,0,6.4699998,200831
397,Elsie Harvey,083-795-146,04-02-2017,46700,61760,04,28,1,3,13968.776,35909.484,3,523,30500,0,6.6100001,174696
398,Peter Medina,561-570-384,04-04-2017,42200,55809,03,40,0,2,33306.332,32058.355,0,617,42700,0,6.46,202058
399,Natasha Gibson,684-816-597,05-04-2017,42700,56470,01,37,1,2,44151.219,48794.613,0,661,39100,0,5.9000001,185884
400,Russell Wolfe,332-285-024,03-01-2017,42500,56206,02,41,1,2,75391.773,77850.531,0,777,45200,146600,7.04,185039
401,Clark Shelton,766-813-389,04-05-2017,43300,57264,02,29,1,2,21277.719,0,0,578,35200,0,6.1999998,185399
402,Ricardo Lee,178-894-498,05-01-2017,47300,62554,01,35,1,2,70269.211,97952.672,2,671,53600,0,6.21,193251
403,Shawna Gonzalez,909-989-992,07-07-2017,42100,55677,03,36,1,1,37774.836,27404.092,0,637,50000,0,6.4400001,186263
404,Sergio Porter,488-495-641,09-01-2017,42400,56073,02,36,0,2,42168.484,68758.023,0,667,48300,12600,5.9099998,172986
405,Lyle Black,387-868-728,04-03-2017,43300,57264,02,37,0,3,50898.047,73926.016,0,688,52600,60800,6.5,177722
406,Gayle Wagner,539-067-773,08-04-2017,43300,57264,02,34,1,1,49554.078,40112.824,1,638,45200,0,6.6999998,174863
407,Leroy Steele,709-554-105,04-02-2017,42000,55544,04,31,0,1,25200.223,24884.008,0,600,32600,0,6.3400002,196612
408,Jaime Wolfe,583-781-374,04-04-2017,43500,57528,01,47,1,2,52045.262,67662.898,0,723,38200,1200,6.27,212055
409,Marjorie Mendoza,823-696-459,05-02-2017,43600,57660,01,32,1,2,51167.008,77369.219,1,685,39300,28200,6.1999998,187604
410,Faith Bennett,839-165-394,07-06-2017,44200,58454,05,37,1,2,60321.863,75082.438,1,695,39900,0,6.3099999,176891
411,Nettie George,885-749-332,06-04-2017,43800,57925,01,50,1,2,17988.363,24412.74,1,600,48400,0,6.7600002,174325
412,Taylor Gregory,693-588-513,05-07-2017,45200,59776,04,28,1,2,67152.492,47014.793,2,641,54500,85200,6.04,167765
413,Seth Chavez,327-119-806,07-07-2017,42400,56073,03,39,1,2,42381.031,42216.531,2,667,37000,0,6.8899999,195007
414,Zachary Meyer,757-433-651,05-07-2017,44100,58322,02,39,0,2,60825.641,42237.461,0,714,51400,13700,6.21,167793
415,Joe Montgomery,806-439-681,04-01-2017,44700,59115,05,34,0,2,59577.527,24840.281,0,619,42100,0,6.4899998,271326
416,Tricia Turner,813-294-097,04-05-2017,42400,56073,01,24,0,2,30289.076,34007.277,0,506,57600,0,6.6799998,171698
417,Ben Jennings,803-784-689,04-05-2017,42200,55809,05,34,1,2,41736.523,26473.117,3,598,57300,164400,6.4299998,198093
418,Gerardo Holloway,067-024-293,06-07-2017,42300,55941,04,31,0,2,32994.68,35102.633,0,548,45500,0,6.8800001,199752
419,Rosemarie Garner,662-573-889,04-07-2017,43200,57131,04,31,1,2,53411.734,43461.051,2,629,50100,163700,6.1599998,175483
420,Warren Houston,137-685-468,05-05-2017,42600,56338,01,36,1,2,42845.375,35788.063,3,626,36500,83000,6.52,198090
421,Fred Fisher,313-964-635,05-06-2017,42500,56206,05,31,0,2,46198.125,36216.961,0,580,53500,0,6.4200001,190437
422,Troy Jones,777-094-986,07-02-2017,45800,60570,04,33,1,3,11512.897,23610.719,3,576,51000,0,6.3499999,189270
423,Shannon Castillo,217-504-075,08-04-2017,44700,59115,04,37,1,2,14927.469,30669.299,3,550,38200,61300,6.1599998,194179
424,Martin Adams,141-594-771,05-06-2017,44500,58851,04,32,1,2,57509.766,55478.773,1,627,40000,0,5.9899998,198119
425,Vivian Potter,240-469-028,09-05-2017,43200,57131,04,35,1,2,52663.957,46511.93,2,633,42400,147900,6.3099999,180634
426,Sandra Quinn,783-018-805,06-02-2017,46300,61231,03,29,0,3,63528.547,32772.379,0,651,54200,0,6.6199999,198651
427,Elsa Daniels,535-300-883,07-07-2017,43000,56867,01,39,1,3,20963.203,14900.502,1,596,41700,98000,6.5700002,197838
428,Luther Hines,499-935-761,07-05-2017,43700,57793,03,30,1,2,54170.051,57320.934,3,631,33200,0,6.6999998,189966
429,Sidney Jackson,045-756-117,08-05-2017,43700,57793,02,27,1,1,54060.637,65313.184,2,570,69400,0,6.4699998,175309
430,Shawn Cobb,946-584-348,02-07-2017,45200,59776,04,30,0,2,77324.891,78110.734,0,694,57700,145100,7.52,210188
431,Clara Jefferson,569-257-015,09-03-2017,42100,55677,01,35,1,2,25802.6,26060.102,1,592,50700,1200,6.1700001,183668
432,Marta Holt,337-921-462,03-01-2017,42200,55809,03,38,0,2,39015.008,54589.695,0,600,43900,39600,6.9699998,178575
433,Herman Moss,154-619-256,04-06-2017,42900,56735,02,41,0,2,47552.129,42976.23,0,700,46000,0,6.5300002,179297
434,Kristina Ortega,582-426-789,07-07-2017,42700,56470,05,37,0,2,48530.652,45228.055,0,656,44100,0,6.54,171018
435,Jackie Sharp,946-308-209,05-07-2017,54300,71811,02,39,0,2,85416.68,82502.047,0,790,59900,55400,5.75,198740
436,Johnny Caldwell,096-376-272,05-01-2017,44100,58322,03,28,1,2,68899.148,63461.184,1,671,43600,111400,6,196883
437,Gabriel Fuller,308-397-852,06-06-2017,43100,56999,02,38,1,2,48918.285,38305.117,3,659,46200,95600,6.5700002,166135
438,Courtney Bowen,471-130-438,05-07-2017,47800,63215,04,30,0,3,74880.359,37999.18,0,689,53100,0,6.25,166545
439,Rene Graves,456-738-802,07-01-2017,42400,56073,01,28,1,2,24449.285,24185.141,2,547,55700,3900,6.5100002,203587
440,Cary Yates,128-417-580,05-05-2017,42600,56338,01,39,1,1,42720.434,43052.504,0,636,52600,106900,5.9499998,204647
441,Kirk Patterson,099-803-731,05-04-2017,41800,55280,01,32,0,3,7965.4478,0,0,494,46600,0,6.1399999,203818
442,Frankie Graham,679-333-989,01-01-2017,44100,58322,01,36,0,3,56860.594,53428.398,0,704,39300,0,7.4099998,185553
443,Maria Duncan,465-217-719,04-05-2017,44300,58586,05,33,1,1,62891.621,81405.805,3,651,52700,0,6.8000002,201065
444,Marlene Bryan,282-363-704,03-03-2017,43100,56999,03,23,1,2,70139.125,67178.945,1,581,39700,0,6.79,189248
445,Bryant Craig,781-920-687,06-05-2017,43100,56999,04,30,1,2,50758.949,48710.883,2,615,40300,0,6.7199998,197574
446,Lorraine Dawson,128-176-859,01-01-2017,48700,64405,03,28,1,3,73162.414,71411.789,0,630,44000,0,7.8099999,200113
447,Brenda Moore,174-400-027,09-03-2017,42900,56735,05,32,0,2,50223.578,47397.801,0,635,51300,0,5.8899999,188970
448,Lucia Payne,103-505-945,05-02-2017,43900,58057,02,38,1,2,63022.57,50632.844,2,728,50500,95500,6.1999998,201942
449,Naomi Young,072-923-244,04-02-2017,45200,59776,02,36,1,2,11055.563,25957.557,2,549,39700,202100,6.3699999,157269
450,Agnes Stokes,783-761-809,04-03-2017,46800,61892,05,29,1,2,69925.555,67039.258,0,693,40000,0,6.3099999,183581
451,Jesus Walker,035-971-841,06-03-2017,42400,56073,04,30,0,2,43667.023,18260.461,0,646,32700,76200,6.8299999,193584
452,Tracey Stephens,666-481-359,08-05-2017,42500,56206,02,41,0,2,19701.65,13846.104,0,553,40200,84500,5.9200001,171002
453,Amy Mills,624-991-739,08-05-2017,49300,65199,05,38,1,3,75577.117,75226.211,2,728,48400,0,6.1399999,176369
454,Saul Spencer,741-045-840,06-02-2017,43500,57528,01,29,0,2,25311.445,52203.363,0,543,44800,0,7,165964
455,Isaac Colon,101-484-000,07-03-2017,45000,59512,02,36,1,3,9555.0791,9313.7275,3,520,38800,66900,6.8099999,196559
456,Lauren Robbins,712-753-190,06-07-2017,44200,58454,03,42,1,2,14663.454,1519.1096,3,560,43700,0,6.71,195504
457,Conrad Munoz,485-049-214,05-05-2017,42000,55544,03,38,1,2,21633.354,49800.141,1,564,29900,0,6.2199998,180313
458,Rosie Sherman,436-667-191,08-01-2017,44000,58189,02,42,0,2,54084.27,72862.797,0,721,54400,0,6.04,198719
459,Maggie Wallace,602-389-535,10-02-2017,44000,58189,05,38,1,2,18353.758,25737.682,1,562,45000,203000,5.9499998,205765
460,Shane Jacobs,799-118-003,05-07-2017,43300,57264,05,34,0,2,51757.992,38450.117,0,679,47700,44200,6.2800002,192935
461,Kate Larson,231-611-062,03-02-2017,42800,56602,02,34,0,2,45963.617,45559.387,0,648,43000,41400,7.0799999,194270
462,Damon Rose,743-746-059,07-05-2017,44000,58189,02,44,1,2,62745.125,39815.758,0,771,49800,160100,6.3299999,170568
